album_name,artist,release_date,added_at,album_length,genres
Terry Riley: A Rainbow in Curved Air & Poppy Nogood and the Phantom Band,Terry Riley,01/01/1969,2022-02-12T02:43:50Z,40.28888333333333,"['american contemporary classical', 'avant-garde', 'compositional ambient', 'contemporary classical', 'drone', 'experimental', 'fourth world', 'minimalism', 'tzadik']"
Cape Cira,K-Lone,2020-04-24,2022-02-12T01:56:57Z,48.22905,"['float house', 'uk bass', 'uk experimental electronic']"
Simulation Swarm,Big Thief,2022-01-19,2022-02-11T16:44:46Z,36.38016666666667,"['art pop', 'brooklyn indie', 'indie pop', 'indie rock', 'small room']"
Daughter,Raum,2022-02-04,2022-02-10T21:12:44Z,61.13328333333333,"['ambient', 'art pop', 'drone', 'fourth world', 'new isolationism', 'spectra']"
Trees etc.,naran ratan,2015-05-22,2022-01-29T02:44:04Z,22.37075,[]
City Of Angels,The Miracles,01/01/1975,2021-12-23T17:12:08Z,51.799733333333336,"['brill building pop', 'classic soul', 'motown', 'quiet storm', 'rhythm and blues', 'soul', 'southern soul']"
A Motown Christmas,Various Artists,1999-01-01,2021-12-19T14:34:46Z,78.04806666666667,[]
A Very Special Christmas 2,Various Artists,1992-01-01,2021-12-19T13:27:06Z,69.49941666666666,[]
Condition,salute,2019-09-23,2021-12-11T04:10:47Z,35.20265,['ukg revival']
Lieve,Holy Other,2021-11-19,2021-12-10T20:57:24Z,30.94045,"['chillwave', 'grave wave', 'uk bass', 'witch house']"
Son,Rosie Lowe,2021-11-12,2021-12-10T20:56:34Z,19.942683333333335,"['alternative r&b', 'indie jazz', 'indie soul', 'uk contemporary r&b']"
The Makin' Magick II Album,DJ Sabrina The Teenage DJ,2021-11-29,2021-12-10T20:55:52Z,151.19191666666666,['escape room']
Hallelujah,Canned Heat,1969-07-08,2021-12-08T03:41:06Z,44.424366666666664,"['album rock', 'blues', 'blues rock', 'classic rock', 'country rock', 'electric blues', 'folk rock', 'hard rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock']"
Post Card (Remastered 2010 / Deluxe Edition),Mary Hopkin,1969-02-21,2021-12-08T03:38:24Z,59.8312,"['bubblegum pop', 'classic uk pop', 'merseybeat']"
From Here We Go Sublime,The Field,2007-03-26,2021-12-04T17:18:11Z,65.75818333333333,"['electronica', 'intelligent dance music', 'microhouse', 'minimal techno', 'pop ambient', 'uk bass']"
Tongues,Kieran Hebden,2007-03-20,2021-11-26T15:40:24Z,55.34948333333333,['spiritual jazz']
"Past, Present & Future",The Rah Band,01/01/1985,2021-11-23T17:50:40Z,62.89305,['brit funk']
Weed Forestin',Sentridoh,01/01/1990,2021-11-20T12:19:08Z,45.138333333333335,[]
Heart Food,Judee Sill,01/01/1973,2021-11-20T04:59:58Z,37.61795,"['art rock', 'folk', 'folk rock', 'singer-songwriter']"
Go Plastic,Squarepusher,01/01/2001,2021-11-20T04:55:38Z,48.7266,"['abstract', 'drill and bass', 'electro', 'electronica', 'intelligent dance music', 'microhouse', 'ninja', 'trip hop']"
Indigo Dream,E.M.M.A.,2020-07-29,2021-11-12T18:34:39Z,34.91611666666667,['experimental ambient']
Biokinetics,Porter Ricks,2012-02-17,2021-11-08T15:50:32Z,70.39973333333333,"['dub techno', 'minimal techno']"
Viva! La Woman,Cibo Matto,01/01/1996,2021-11-08T15:50:00Z,48.269283333333334,"['shibuya-kei', 'trip hop']"
Second Toughest In The Infants (Remastered),Underworld,01/01/1996,2021-11-08T15:49:04Z,73.18641666666667,"['alternative dance', 'big beat', 'electronica']"
Menneskekollektivet,Lost Girls,2021-03-26,2021-11-03T15:55:16Z,44.28288333333333,['experimental electronic']
Double Nickels on the Dime,Minutemen,1984-07-24,2021-10-29T17:53:50Z,74.6164,"['alternative rock', 'art rock', 'experimental', 'experimental rock', 'hardcore punk', 'post-hardcore', 'post-punk', 'punk']"
Chomp (Remastered),Pylon,1983-04-26,2021-10-29T17:51:18Z,42.50128333333333,"['alternative rock', 'athens indie', 'experimental', 'experimental rock', 'funk rock', 'new wave', 'no wave', 'post-punk']"
Make A Record,The Suicide Commandos,1978-01-01,2021-10-17T06:00:41Z,34.66213333333334,['early us punk']
Who Knows Where The Time Goes,Judy Collins,01/01/1968,2021-10-14T14:35:08Z,43.58591666666667,"['american folk revival', 'classic uk pop', 'country rock', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock']"
Giving Birth to Thunder,Indian Summer,2019-09-13,2021-10-09T01:53:35Z,40.17176666666667,"['emo', 'lo-fi indie', 'screamo']"
TNT,Tortoise,1998-03-10,2021-10-05T11:59:03Z,64.90703333333333,"['chicago indie', 'double drumming', 'experimental', 'experimental rock', 'indie rock', 'post-rock']"
Blood Visions,Jay Reatard,01/01/2009,2021-10-05T11:48:00Z,29.286366666666666,"['action rock', 'garage pop', 'garage psych', 'garage punk', 'garage rock', 'indie garage rock', 'indie punk', 'memphis indie', 'noise pop', 'punk blues']"
African Giant,Burna Boy,2019-07-25,2021-10-05T11:45:13Z,60.283116666666665,"['afro dancehall', 'dancehall', 'nigerian hip hop', 'nigerian pop']"
Wow2,Boredoms,1993-09-25,2021-10-05T11:44:34Z,54.41481666666667,"['double drumming', 'experimental', 'experimental rock', 'japanese psychedelic', 'japanoise', 'noise rock']"
Underwater Moonlight,The Soft Boys,2010-10-19,2021-10-01T18:01:25Z,147.93175,"['alternative rock', 'art rock', 'experimental', 'experimental rock', 'gbvfi', 'jangle pop', 'post-punk', 'power pop', 'pub rock', 'uk post-punk']"
"Signals, Calls and Marches",Mission Of Burma,1981-07-04,2021-10-01T18:00:00Z,33.08573333333333,"['alternative pop', 'alternative rock', 'boston rock', 'gbvfi', 'no wave', 'post-hardcore', 'post-punk', 'punk', 'punk blues']"
A Period of Review (Original Recordings: 1975 - 1983),K. Leimer,2014-05-13,2021-09-30T12:14:05Z,77.61421666666666,"['ambient', 'experimental ambient', 'fourth world']"
Boom Chaka Boom Boom,Charlie Megira,2015-01-01,2021-09-27T19:34:34Z,28.727816666666666,['psychedelic folk rock']
Genesis,Wendy & Bonnie,1969-10-06,2021-09-22T20:21:55Z,29.78975,['psychedelic folk']
Mnestic Pressure,Lee Gamble,2017-10-20,2021-09-18T03:24:32Z,43.9326,"['deconstructed club', 'outsider house', 'uk experimental electronic', 'weightless']"
Playground,Kink,2017-11-03,2021-09-17T14:49:28Z,69.17743333333334,"['bulgarian electronic', 'deep house', 'disco house', 'float house', 'minimal tech house', 'tech house']"
Introducing...,Aaron Frazer,2021-01-08,2021-09-11T04:02:51Z,42.39945,['funk']
So Sweet So Nice,John Moods,2021-08-06,2021-09-10T14:37:03Z,45.51396666666667,['german indie pop']
Heaven Beach,Anri,1982-11-21,2021-09-10T14:32:10Z,49.019283333333334,['classic city pop']
Rock Bottom,Robert Wyatt,01/01/1974,2021-09-06T03:14:31Z,39.57885,"['art rock', 'british folk', 'canterbury scene', 'experimental', 'experimental rock', 'fourth world', 'post-punk', 'zolo']"
Spiderland,Slint,1991-03-15,2021-09-06T03:13:32Z,39.56551666666667,"['alternative rock', 'art rock', 'dream pop', 'emo', 'experimental', 'experimental rock', 'indie rock', 'louisville underground', 'math rock', 'post-hardcore', 'post-punk', 'post-rock', 'slowcore']"
A Beacon From Mars (Expanded Edition),Kaleidoscope,1968-06-01,2021-09-06T03:12:43Z,59.85635,"['classic garage rock', 'freakbeat', 'psychedelic rock']"
Da Capo,Love,1966-11-01,2021-09-06T03:12:01Z,36.1524,"['acid rock', 'art rock', 'classic rock', 'experimental', 'folk', 'folk rock', 'psychedelic rock', 'rock']"
Balaklava,Pearls Before Swine,2018-12-14,2021-09-06T03:10:28Z,30.453466666666667,"['psychedelic folk', 'psychedelic rock']"
Nail,Scraping Foetus off the Wheel,01/01/1985,2021-09-06T02:55:49Z,40.1524,['experimental']
Twin Infinitives,Royal Trux,1990-12-15,2021-09-06T02:49:52Z,68.43801666666667,"['experimental rock', 'gbvfi', 'post-punk']"
Tower of Silence,Roberto Musci,2016-11-24,2021-09-05T23:20:38Z,81.7803,"['deep free jazz', 'fourth world', 'italian experimental']"
Mirrorwriting,Jamie Woon,2011-01-01,2021-09-05T23:20:01Z,45.81393333333333,['british soul']
Experimental Tape 2 (Vol.1),Xander Duell,2011-04-07,2021-09-05T23:10:27Z,29.89131666666667,[]
Dream A Garden,Jam City,2015-03-23,2021-08-28T02:55:53Z,36.60433333333334,"['deconstructed club', 'minimal dubstep', 'uk bass', 'vogue']"
Dream A Garden,Jam City,2015-03-23,2021-08-28T01:09:54Z,36.60433333333334,"['deconstructed club', 'minimal dubstep', 'uk bass', 'vogue']"
The Inner Mounting Flame,Mahavishnu Orchestra,01/01/1971,2021-08-27T15:47:59Z,61.70195,"['art rock', 'instrumental rock', 'jazz fusion', 'progressive rock', 'symphonic rock']"
Positive - Negative,Tommy Mcgee,2016-05-16,2021-08-26T12:03:06Z,28.7364,['traditional soul']
Two Days Away,Elkie Brooks,1977-01-01,2021-08-24T21:49:41Z,32.68971666666667,"['classic uk pop', 'new wave pop']"
Indigo Girls (Expanded Edition),Indigo Girls,01/01/1989,2021-08-23T23:19:09Z,51.6515,"['folk', 'folk rock', 'lilith', 'new wave pop', 'pop rock', 'singer-songwriter', ""women's music""]"
Dada (Remastered),Dada,1970-01-01,2021-08-23T18:17:09Z,37.28661666666667,[]
The Horses and the Hounds,James McMurtry,2021-08-20,2021-08-21T01:22:33Z,47.384816666666666,"['alternative country', 'country rock', 'folk', 'heartland rock', 'indie folk', 'new americana', 'outlaw country', 'roots rock', 'singer-songwriter', 'texas country']"
The Charm of the Highway Strip,The Magnetic Fields,1994-04-18,2021-08-17T19:23:14Z,33.35725,"['alternative rock', 'anti-folk', 'art pop', 'art rock', 'chamber pop', 'dream pop', 'indie pop', 'indie rock', 'lo-fi', 'melancholia', 'metropopolis', 'permanent wave', 'singer-songwriter', 'tape club']"
Wreckless Eric,Wreckless Eric,1978-06-01,2021-08-15T00:28:40Z,38.641466666666666,['pub rock']
Ricky Music,Porches,2020-03-13,2021-07-26T15:40:05Z,26.00348333333333,"['art pop', 'chillwave', 'indie pop']"
The Neon Skyline,Andy Shauf,2020-01-24,2021-07-20T17:35:11Z,34.917316666666665,"['canadian indie folk', 'indie folk', 'indie pop', 'indie rock', 'saskatchewan indie']"
I Know I'm Funny haha,Faye Webster,2021-06-25,2021-07-20T17:30:37Z,40.8248,"['art pop', 'atlanta indie', 'indie pop']"
A Thoughtiverse Unmarred,Georgia Anne Muldrow,2015-05-19,2021-07-19T19:18:50Z,36.0515,"['alternative hip hop', 'indie jazz']"
Painful,Yo La Tengo,1993-10-05,2021-06-18T16:47:17Z,48.96993333333333,"['alternative rock', 'anti-folk', 'art pop', 'dream pop', 'indie pop', 'indie rock', 'lo-fi', 'new jersey indie', 'noise pop', 'permanent wave']"
Fame,Grace Jones,1978-08-04,2021-06-17T14:00:37Z,40.35661666666667,"['art rock', 'dance pop', 'disco', 'new romantic', 'new wave', 'new wave pop', 'synthpop']"
"The Wild, the Innocent & The E Street Shuffle",Bruce Springsteen,1973-09-11,2021-06-17T13:26:16Z,46.53731666666667,"['classic rock', 'heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter', 'soft rock']"
Protest Songs,Prefab Sprout,1989-06-16,2021-06-17T13:01:20Z,41.89505,"['art rock', 'melancholia', 'new romantic', 'new wave', 'new wave pop', 'sophisti-pop']"
I'll Try Living Like This,death's dynamic shroud,2015-05-15,2021-06-14T12:54:12Z,59.565416666666664,"['art pop', 'deconstructed club', 'escape room', 'hardvapour', 'slushwave', 'vaporwave']"
The Harrow & The Harvest,Gillian Welch,2011-06-28,2021-06-09T13:11:14Z,46.096383333333335,"['alternative country', 'country rock', 'folk', 'folk rock', 'indie folk', 'lilith', 'melancholia', 'nashville singer-songwriter', 'new americana', 'progressive bluegrass', 'roots rock', 'singer-songwriter']"
Private Reasons,Bruno Pernadas,2021-04-23,2021-06-04T13:34:22Z,74.89815,['portuguese indie']
Afrique Victime,Mdou Moctar,2021-05-21,2021-06-04T13:20:26Z,41.38701666666667,"['desert blues', 'tuareg guitar']"
Strange Cacti,Angel Olsen,2011-04-11,2021-06-02T16:25:34Z,21.6793,"['alternative americana', 'art pop', 'dream pop', 'indie pop', 'indie rock']"
Half Way Home,Angel Olsen,2012-09-04,2021-06-02T16:21:21Z,43.974383333333336,"['alternative americana', 'art pop', 'dream pop', 'indie pop', 'indie rock']"
boygenius,Julien Baker,2018-10-26,2021-06-02T14:38:09Z,21.985716666666665,"['ambient folk', 'art pop', 'indie pop', 'indie rock']"
Another Thought,Arthur Russell,1993-02-19,2021-05-17T13:44:13Z,62.08331666666667,"['art pop', 'art rock', 'cello', 'chamber psych', 'dream pop', 'experimental', 'fourth world', 'minimalism', 'modern cello']"
Songs,Rotary Connection,1969-01-01,2021-04-30T13:11:07Z,35.069066666666664,"['classic soul', 'jazz funk', 'psychedelic soul']"
"Somewhere Between: Mutant Pop, Electronic Minimalism & Shadow Sounds of Japan 1980—1988",Various Artists,2021-01-22,2021-04-28T12:51:26Z,33.85071666666666,[]
Only Diamonds Cut Diamonds,Vegyn,2019-11-08,2021-04-28T12:24:53Z,41.759366666666665,"['art pop', 'escape room', 'experimental hip hop']"
Friday's Child,Lee Hazlewood,1965-06-15,2021-04-20T13:57:58Z,30.832383333333333,"['baroque pop', 'folk rock', 'oklahoma country', 'psychedelic rock', 'singer-songwriter']"
Welcome To The Real World,Mr. Mister,1985-11-27,2021-04-05T16:40:46Z,43.523266666666665,"['album rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']"
Cult Survivor,Sofie Royer,2020-06-26,2021-04-03T02:03:10Z,38.86225,[]
Dance Party,Martha Reeves & The Vandellas,1965-01-01,2021-02-27T10:11:28Z,30.93925,"['brill building pop', 'classic girl group', 'classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'rock-and-roll', 'soul']"
Olympic Girls,Tiny Ruins,2019-02-01,2021-02-23T12:43:21Z,43.44018333333333,"['auckland indie', 'chamber pop', 'dunedin indie', 'indie folk', 'nz folk', 'nz indie']"
Naughty,Chaka Khan,1980-01-01,2021-02-21T16:04:06Z,40.13438333333333,"['dance pop', 'disco', 'funk', 'neo soul', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']"
Voice of Lovers,Moon King,2019-04-02,2021-02-21T14:48:03Z,40.55251666666667,"['stomp pop', 'toronto indie']"
Real Life,Real Lies,2015-10-16,2021-02-20T15:10:31Z,43.69285,[]
Invitation to Her's,Her's,2018-08-24,2021-02-19T10:57:26Z,45.79975,"['indie garage rock', 'indie pop', 'liverpool indie']"
Acid Mt.Fuji (2016 Remaster Deluxe Edition),Susumu Yokota,2016-04-06,2021-02-19T10:37:14Z,116.5549,"['abstract', 'ambient', 'art pop', 'art rock', 'compositional ambient', 'drill and bass', 'drone', 'electronica', 'fourth world', 'intelligent dance music', 'j-ambient', 'japanese electronic', 'japanese idm', 'microhouse']"
Sakura,Susumu Yokota,1999-07-21,2021-02-19T10:36:42Z,50.22593333333333,"['abstract', 'ambient', 'art pop', 'art rock', 'compositional ambient', 'drill and bass', 'drone', 'electronica', 'fourth world', 'intelligent dance music', 'j-ambient', 'japanese electronic', 'japanese idm', 'microhouse']"
ORCORARA 2010,Elysia Crampton,2020-05-01,2021-02-18T19:40:17Z,69.38163333333334,"['collage pop', 'deconstructed club', 'electra', 'fluxwork', 'new isolationism', 'spectra']"
Mark Stewart,Mark Stewart,01/01/1987,2021-02-06T15:17:51Z,66.32148333333333,"['bristol indie', 'experimental dub']"
Faith,The Cure,1981-04-10,2021-02-06T15:16:37Z,37.2033,"['new wave', 'permanent wave', 'rock', 'uk post-punk']"
Hats,The Blue Nile,1989-10-16,2021-02-06T12:28:16Z,38.78375,"['art rock', 'melancholia', 'new romantic', 'new wave', 'new wave pop', 'scottish new wave', 'sophisti-pop', 'synthpop']"
So This Is Goodbye,Junior Boys,2006-09-12,2021-02-06T12:24:17Z,55.72148333333333,"['alternative dance', 'art pop', 'balearic', 'canadian electropop', 'chillwave', 'electronica', 'electropop', 'hamilton on indie', 'indietronica', 'neo-synthpop', 'new rave']"
North,Darkstar,01/01/2010,2021-02-06T11:39:39Z,39.6144,['uk bass']
The Age of Consent,Bronski Beat,1984-10-15,2021-02-05T19:02:42Z,79.91256666666666,"['hi-nrg', 'new romantic', 'new wave', 'new wave pop', 'sophisti-pop', 'synthpop']"
Spoiled Love,Buzzy Lee,2021-01-29,2021-01-31T14:46:33Z,34.945883333333335,[]
Fantasy Chapel,Riches,2020-09-25,2021-01-31T13:17:36Z,40.790533333333336,[]
Land of No Junction,Aoife Nessa Frances,2020-01-17,2021-01-31T13:05:09Z,41.288383333333336,['irish singer-songwriter']
Systems Of Romance,Ultravox,01/01/1978,2021-01-30T14:05:34Z,43.23016666666667,"['art rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop', 'zolo']"
Dead Air,Mordant Music,2006-06-19,2021-01-30T13:56:44Z,66.10785,"['british experimental', 'hauntology', 'uk experimental electronic']"
Inner Space: The Lost Film Music of Sven Libaek,Sven Libaek,2006-09-09,2021-01-30T13:29:03Z,50.366816666666665,"['exotica', 'library music', 'lounge', 'moog', 'spytrack']"
Basket of Light,Pentangle,1969-10-01,2021-01-30T13:15:55Z,52.457283333333336,"['british folk', 'folk', 'folk rock', 'psychedelic folk']"
How Much Works,Sweet Whirl,2020-05-29,2021-01-29T22:40:50Z,39.23016666666667,['melbourne indie']
Tin Drum,Japan,01/01/1981,2021-01-03T16:16:04Z,61.47795,"['art rock', 'melancholia', 'new romantic', 'new wave', 'new wave pop', 'post-punk', 'synthpop']"
Georgia,Georgia,2015-08-07,2021-01-01T02:12:52Z,38.338116666666664,"['electropop', 'uk alternative pop']"
Southern Nights,Allen Toussaint,01/01/1975,2020-12-31T14:43:32Z,35.81216666666667,"['funk', 'louisiana blues', 'new orleans blues', 'new orleans soul', 'rock keyboard', 'soul', 'southern soul']"
Segundo,Juana Molina,01/01/2000,2020-12-29T13:23:03Z,69.09305,"['argentine indie', 'electronica argentina', 'experimental pop', 'folktronica']"
A Donny Hathaway Collection,Donny Hathaway,1990-04-03,2020-12-25T18:48:35Z,71.6168,"['chicago soul', 'classic soul', 'funk', 'neo soul', 'quiet storm', 'soul']"
Halo,Juana Molina,2017-05-05,2020-12-21T07:26:47Z,56.58401666666666,"['argentine indie', 'electronica argentina', 'experimental pop', 'folktronica']"
Clues,Robert Palmer,1980-01-01,2020-12-21T06:53:08Z,31.316633333333332,"['album rock', 'art rock', 'blues rock', 'classic rock', 'dance rock', 'disco', 'heartland rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock', 'yacht rock']"
Hearts On Fire Anthology,Various Artists,01/01/2008,2020-12-21T06:52:55Z,72.88035,[]
